year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2010,08,PARK NATURA,BUKIT BATOK EAST AVENUE 6,UIC Supplies Pte Ltd,Non-Landed,OCR,192,192,192,0,0,0,-,-,-
2010,08,PARKVIEW ECLAT,GRANGE ROAD,Stream Ahead Pte Ltd,Non-Landed,CCR,35,35,20,15,0,0,-,-,-
2010,08,PARVIS,HOLLAND HILL,Calne Pte Ltd,Non-Landed,CCR,248,248,246,2,0,0,-,-,-
2010,08,PATERSON LINC,PATERSON ROAD,Green Aces Paterson Pte Ltd,Non-Landed,CCR,35,35,35,0,0,0,-,-,-
2010,08,PATERSON SUITES,PATERSON ROAD/LENGKOK ANGSA,Bukit Sembawang View Pte Ltd,Non-Landed,CCR,102,22,22,0,0,0,-,-,-
2010,08,PAVILION PARK (PHASE 1D),PAVILION CIRCLE,Bukit Batok Development Pte Ltd,Landed,OCR,37,0,0,0,0,0,-,-,-
2010,08,PAVILION PARK (PHASE 2),PAVILION CIRCLE,Bukit Batok Development Pte Ltd,Landed,OCR,311,172,171,1,7,7,"9,322","9,322","9,397"
2010,08,PRESTIGE HEIGHTS,BALESTIER ROAD,Fragrance Land Pte Ltd,Non-Landed,RCR,154,90,87,3,0,10,"15,737","12,206","16,383"
2010,08,PRIMO RESIDENCES,JALAN PELIKAT,Taipan International Associates Pte Ltd,Non-Landed,OCR,64,64,64,0,0,0,-,-,-
2010,08,RADIANCE @ BUKIT TIMAH,YUK TONG AVENUE,Bukit Timah View Property Pte Ltd,Strata-Landed,RCR,17,6,2,4,0,0,-,-,-
2010,08,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Keppel Bay Pte Ltd,Non-Landed,RCR,1129,790,769,21,30,13,"17,459","16,878","21,916"
2010,08,RESIDENCES @ KILLINEY,KILLINEY ROAD,Hoi Hup Realty Pte Ltd,Non-Landed,CCR,68,68,66,2,0,0,-,-,-
2010,08,RESIDENCES @ SOMME,PETAIN ROAD,Splott Pte Ltd,Non-Landed,RCR,28,28,26,2,0,0,-,-,-
2010,08,RESIDENCES @ STANGEE,LORONG STANGEE,Fortune Development Pte Ltd,Landed,RCR,14,14,14,0,0,0,-,-,-
2010,08,RESIDENCES AT EMERALD HILL,EMERALD HILL ROAD,Lafe (Emerald Hill) Development Pte Ltd,Strata-Landed / Non-Landed,CCR,33,6,0,6,0,0,-,-,-
2010,08,RESIDENCES BOTANIQUE,SIRAT ROAD,Riverside Walk Pte Ltd,Non-Landed,OCR,81,81,79,2,0,4,"11,744","11,571","12,400"
2010,08,RESIDENTIAL APARTMENTS,NASSIM HILL,Tennessee Pte Ltd,Non-Landed,CCR,16,8,8,0,0,0,-,-,-
